title,abstractText,year,type,status,doi,source,url,authors,topics,internalAuthorOrcids,internalAuthorNames,externalAffiliations
"Analisis semantico de publicaciones clinicas en hospitales universitarios","Evaluacion de busqueda semantica local para recuperar estudios clinicos relacionados por riesgo, datos multimodales y autores compartidos.",2026,ARTICLE,PUBLISHED,10.5555/rip.2026.201,"Revista de IA Clinica Local",https://example.org/publicaciones/analisis-semantico-clinico,"Lucia Herrera; Priya Raman; Laura Gomez","IA clinica; Busqueda semantica; Datos multimodales","0000-0002-1825-0097;0000-0001-8123-4550;","",";;Hospital Universitario Central"
"Grafos de conocimiento para cohortes de investigacion oncologica","Construccion de grafos clinicos para explicar criterios de cohortes, variantes genomicas y relaciones entre pacientes de investigacion.",2025,CONFERENCE_PAPER,ACCEPTED,,"Congreso Iberico de Datos Biomedicos",https://example.org/publicaciones/grafos-cohortes-oncologia,"Omar Alvarez; Jonas Weber; Elena Ruiz","Grafos de conocimiento; Genomica; Cohortes","0000-0003-2145-8910;;",";Jonas Weber;",";;Instituto Nacional de Oncologia"
"Vigilancia de salud publica con datos climaticos urbanos","Integracion de sensores de temperatura, episodios de urgencias y mapas de vulnerabilidad para priorizar intervenciones municipales.",2024,REPORT,PUBLISHED,10.5555/rip.2024.203,"Observatorio Urbano de Salud",https://example.org/publicaciones/vigilancia-calor-salud,"Elena Kovacs; Rui Martins","Clima urbano; Salud publica; Cambio climatico","0000-0002-9012-7711;","",";Observatorio de Salud Publica de Lisboa"
"Flujos de gobernanza de datos para ensayos multicentro","Procedimiento de curacion, versionado y trazabilidad de datasets clinicos compartidos entre hospitales de investigacion.",2025,ARTICLE,PUBLISHED,10.5555/rip.2025.204,"Gestion de Datos en Salud",https://example.org/publicaciones/gobernanza-ensayos,"Sara Williams; Omar Alvarez; Marta Soler","Gobernanza de datos; Gestion de datos; Hospitales","0000-0001-4455-3312;0000-0003-2145-8910;","",";;Consorcio de Datos Clinicos"
"Copilotos locales para comites de evidencia clinica","Prototipo de copiloto que responde preguntas con contexto recuperado, citas verificables y advertencias cuando el contexto es insuficiente.",2026,SOFTWARE,IN_PRESS,,"Herramientas Abiertas de Investigacion",https://example.org/publicaciones/copilotos-locales,"Lucia Herrera; Jonas Weber; Rosa Marin","IA local; Busqueda semantica; IA clinica","0000-0002-1825-0097;;",";Jonas Weber;",";;Comite de Evidencia Clinica"
"Deteccion de tendencias emergentes en salud digital","Metodo para identificar temas crecientes en publicaciones recientes combinando texto, temas normalizados y embeddings locales.",2026,ARTICLE,PUBLISHED,10.5555/rip.2026.206,"Analitica de Investigacion Aplicada",https://example.org/publicaciones/tendencias-salud-digital,"Priya Raman; Elena Kovacs","Deteccion de tendencias; Salud digital; Analitica de investigacion","0000-0001-8123-4550;0000-0002-9012-7711","",";"
"Recomendacion de colaboraciones por afinidad tematica","Ranking de posibles colaboraciones entre investigadores usando coautoria historica, temas compartidos y proximidad institucional.",2025,ARTICLE,ACCEPTED,10.5555/rip.2025.207,"Revista de Gestion Cientifica",https://example.org/publicaciones/recomendacion-colaboraciones,"Jonas Weber; Lucia Herrera; Ines Carvalho","Recomendacion de colaboraciones; Colaboracion cientifica; Mapas tematicos",";0000-0002-1825-0097;","Jonas Weber;;",";;Red Clinica Iberica"
"Privacidad y despliegue de modelos locales en hospitales","Analisis operativo para ejecutar modelos de lenguaje y embeddings dentro de la infraestructura hospitalaria sin APIs externas.",2024,REPORT,PUBLISHED,,"Cuadernos de IA Local",https://example.org/publicaciones/privacidad-modelos-locales,"Omar Alvarez; Ana Ribeiro","Privacidad; IA local; Hospitales","0000-0003-2145-8910;","",";Centro de Privacidad Digital"
"Paneles descriptivos de actividad investigadora institucional","Diseno de paneles para explorar publicaciones, unidades, autores y temas sin introducir metricas bibliometricas dependientes de fuente.",2023,SOFTWARE,PUBLISHED,10.5555/rip.2023.209,"Herramientas de Gestion Cientifica",https://example.org/publicaciones/paneles-actividad,"Elena Kovacs; Jonas Weber","Analitica de investigacion; Mapas tematicos; Colaboracion cientifica","0000-0002-9012-7711;;",";Jonas Weber",";"
"Modelos predictivos multimodales para riesgo hospitalario","Evaluacion de modelos que combinan notas clinicas, tablas, imagenes y series temporales para anticipar complicaciones hospitalarias.",2025,ARTICLE,PUBLISHED,10.5555/rip.2025.210,"Revista de Salud Digital",https://example.org/publicaciones/modelos-riesgo-multimodal,"Priya Raman; Lucia Herrera; Diego Fuentes","Modelos predictivos; Datos multimodales; IA clinica","0000-0001-8123-4550;0000-0002-1825-0097;","",";;Hospital General del Sur"
"Panteras y corredores ecologicos en paisajes agricolas","Analisis de rutas de desplazamiento de panteras entre fragmentos de habitat usando camaras trampa y observaciones de campo.",2025,ARTICLE,PUBLISHED,10.5555/fauna.2025.211,"Conservacion de Grandes Felinos",https://example.org/publicaciones/panteras-corredores,"Valeria Campos; Nicolas Duarte","Panteras; Corredores ecologicos; Conservacion","","","Centro de Conservacion de Grandes Felinos;Laboratorio de Ecologia de Panteras"
"Camaras trampa para estudiar comportamiento de felinos salvajes","Protocolo para estimar actividad nocturna y uso del territorio en panteras y otros felinos salvajes.",2024,ARTICLE,PUBLISHED,10.5555/fauna.2024.212,"Ecologia de Carnivoros",https://example.org/publicaciones/camaras-trampa-felinos,"Mei Chen; Sofia Almeida","Camaras trampa; Felinos salvajes; Comportamiento animal","","","Laboratorio de Ecologia de Panteras;Centro de Conservacion de Grandes Felinos"
"Fotometria de transitos en astronomia observacional","Pipeline para detectar variaciones de brillo en estrellas candidatas a sistemas con exoplanetas.",2025,ARTICLE,PUBLISHED,10.5555/astro.2025.213,"Astronomia Observacional Iberica",https://example.org/publicaciones/fotometria-transitos,"Hugo Torres; Noelia Vega","Astronomia observacional","","","Instituto de Astronomia Observacional;Red de Telescopios del Sur"
"Redes de manuscritos en literatura medieval castellana","Analisis de variantes textuales y transmision manuscrita usando grafos de copias y familias textuales.",2023,ARTICLE,PUBLISHED,10.5555/humanidades.2023.214,"Estudios de Literatura Medieval",https://example.org/publicaciones/manuscritos-medievales,"Laura Benitez; Beatriz Montero","Literatura medieval","","","Departamento de Literatura Medieval;Archivo Historico de Salamanca"
"Rotaciones de cultivo para agricultura sostenible mediterranea","Evaluacion de rotaciones, cobertura vegetal y eficiencia hidrica para mejorar la resiliencia agricola.",2025,ARTICLE,PUBLISHED,10.5555/agro.2025.215,"Agricultura Sostenible Mediterranea",https://example.org/publicaciones/rotaciones-cultivo,"Sergio Molina; Leila Haddad","Agricultura sostenible","","","Centro de Agricultura Sostenible;Cooperativa Agroecologica Mediterranea"
